Nasdaq Traded,Symbol,Security Name,Listing Exchange,Market Category,ETF,Round Lot Size,Test Issue,Financial Status,CQS Symbol,NASDAQ Symbol,NextShares,Industry,Source
Y,DSGX,The Descartes Systems Group Inc. - Common Stock,Q,Q,N,100.0,N,N,,DSGX,N,Technology,Yahoo Finance
Y,DSWL,"Deswell Industries, Inc. - Common Shares",Q,G,N,100.0,N,N,,DSWL,N,Technology,Yahoo Finance
Y,DT,"Dynatrace, Inc. Common Stock",N, ,N,100.0,N,,DT,DT,N,Technology,Yahoo Finance
Y,DTSS,Datasea Inc. - Common Stock,Q,S,N,100.0,N,N,,DTSS,N,Technology,Yahoo Finance
Y,DUOT,"Duos Technologies Group, Inc. - Common Stock",Q,S,N,100.0,N,N,,DUOT,N,Technology,Yahoo Finance
Y,DXC,DXC Technology Company Common Stock ,N, ,N,100.0,N,,DXC,DXC,N,Technology,Yahoo Finance
Y,DZSI,"DASAN Zhone Solutions, Inc. - Common Stock",Q,S,N,100.0,N,D,,DZSI,N,Technology,Yahoo Finance
Y,EEFT,"Euronet Worldwide, Inc. - Common Stock",Q,Q,N,100.0,N,N,,EEFT,N,Technology,Yahoo Finance
Y,EGAN,eGain Corporation - Common Stock,Q,S,N,100.0,N,N,,EGAN,N,Technology,Yahoo Finance
Y,EGHT,8x8 Inc Common Stock,N, ,N,100.0,N,,EGHT,EGHT,N,Technology,Yahoo Finance
Y,ELSE,"Electro-Sensors, Inc. - Common Stock",Q,S,N,100.0,N,N,,ELSE,N,Technology,Yahoo Finance
Y,ELTK,Eltek Ltd. - Ordinary Shares,Q,S,N,100.0,N,N,,ELTK,N,Technology,Yahoo Finance
Y,ENPH,"Enphase Energy, Inc. - Common Stock",Q,G,N,100.0,N,N,,ENPH,N,Technology,Yahoo Finance
Y,ENTG,"Entegris, Inc. - Common Stock",Q,Q,N,100.0,N,N,,ENTG,N,Technology,Yahoo Finance
Y,EPAM,"EPAM Systems, Inc. Common Stock",N, ,N,100.0,N,,EPAM,EPAM,N,Technology,Yahoo Finance
Y,ERIC,Ericsson - American Depositary Shares each representing 1 underlying Class B share,Q,Q,N,100.0,N,N,,ERIC,N,Technology,Yahoo Finance
Y,ESE,ESCO Technologies Inc. Common Stock,N, ,N,100.0,N,,ESE,ESE,N,Technology,Yahoo Finance
Y,ESTC,Elastic N.V. Ordinary Shares,N, ,N,100.0,N,,ESTC,ESTC,N,Technology,Yahoo Finance
Y,EVOL,"Evolving Systems, Inc. - Common Stock",Q,S,N,100.0,N,D,,EVOL,N,Technology,Yahoo Finance
Y,EVTC,"Evertec, Inc. Common Stock",N, ,N,100.0,N,,EVTC,EVTC,N,Technology,Yahoo Finance
Y,EXLS,"ExlService Holdings, Inc. - Common Stock",Q,Q,N,100.0,N,N,,EXLS,N,Technology,Yahoo Finance
Y,EXTR,"Extreme Networks, Inc. - Common Stock",Q,Q,N,100.0,N,N,,EXTR,N,Technology,Yahoo Finance
Y,FEIM,"Frequency Electronics, Inc. - Common Stock",Q,G,N,100.0,N,N,,FEIM,N,Technology,Yahoo Finance
Y,FFIV,"F5 Networks, Inc. - Common Stock",Q,Q,N,100.0,N,N,,FFIV,N,Technology,Yahoo Finance
Y,FI,Frank's International N.V. Common Stock,N, ,N,100.0,N,,FI,FI,N,Technology,Yahoo Finance
Y,FICO,Fair Isaac Corproation Common Stock,N, ,N,100.0,N,,FICO,FICO,N,Technology,Yahoo Finance
Y,FIEE,"UBS AG FI Enhanced Europe 50 ETN due February 12, 2026",P, ,N,100.0,N,,FIEE,FIEE,N,Technology,Yahoo Finance
Y,FIS,"Fidelity National Information Services, Inc. Common Stock",N, ,N,100.0,N,,FIS,FIS,N,Technology,Yahoo Finance
Y,FIVN,"Five9, Inc. - Common Stock",Q,G,N,100.0,N,N,,FIVN,N,Technology,Yahoo Finance
Y,FLEX,Flex Ltd. - Ordinary Shares,Q,Q,N,100.0,N,N,,FLEX,N,Technology,Yahoo Finance
Y,FN,Fabrinet Ordinary Shares,N, ,N,100.0,N,,FN,FN,N,Technology,Yahoo Finance
Y,FORM,"FormFactor, Inc. - Common Stock",Q,Q,N,100.0,N,N,,FORM,N,Technology,Yahoo Finance
Y,FORTY,Formula Systems (1985) Ltd. - American Depositary Shares,Q,Q,N,100.0,N,N,,FORTY,N,Technology,Yahoo Finance
Y,FSLR,"First Solar, Inc. - Common Stock",Q,Q,N,100.0,N,N,,FSLR,N,Technology,Yahoo Finance
Y,FSLY,"Fastly, Inc. Class A Common Stock",N, ,N,100.0,N,,FSLY,FSLY,N,Technology,Yahoo Finance
Y,FTFT,Future FinTech Group Inc. - Common Stock,Q,S,N,100.0,N,D,,FTFT,N,Technology,Yahoo Finance
Y,FTNT,"Fortinet, Inc. - Common Stock",Q,Q,N,100.0,N,N,,FTNT,N,Technology,Yahoo Finance
Y,FTV,Fortive Corporation Common Stock ,N, ,N,100.0,N,,FTV,FTV,N,Technology,Yahoo Finance
Y,G,Genpact Limited Common Stock,N, ,N,100.0,N,,G,G,N,Technology,Yahoo Finance
Y,GDDY,GoDaddy Inc. Class A Common Stock,N, ,N,100.0,N,,GDDY,GDDY,N,Technology,Yahoo Finance
Y,GDS,GDS Holdings Limited - American Depositary Shares,Q,G,N,100.0,N,N,,GDS,N,Technology,Yahoo Finance
Y,GDYN,"Grid Dynamics Holdings, Inc. - Class A Common Stock",Q,S,N,100.0,N,N,,GDYN,N,Technology,Yahoo Finance
Y,GEN,"Genesis Healthcare, Inc. Common Stock",N, ,N,100.0,N,,GEN,GEN,N,Technology,Yahoo Finance
Y,GIB,CGI Inc. Common Stock,N, ,N,100.0,N,,GIB,GIB,N,Technology,Yahoo Finance
Y,GILT,Gilat Satellite Networks Ltd. - Ordinary Shares,Q,Q,N,100.0,N,N,,GILT,N,Technology,Yahoo Finance
