date,close,ret,logret,sma,vol,drawdown,regime_A,regime_B,regime_C
2016-03-15,4367.08170691,-0.00005662,-0.00005662,4221.73228307,0.18792547,-0.02907498,Bull,Bear,Bull
2016-03-16,4404.20183188,0.00849998,0.00846406,4219.85918377,0.17435496,-0.02082213,Bear,Bear,Bull
2016-03-17,4400.26317607,-0.00089430,-0.00089470,4218.18085044,0.16717588,-0.02169781,Bear,Bull,Bull
2016-03-18,4410.82787832,0.00240093,0.00239805,4217.51770569,0.16718491,-0.01934897,Bear,Bull,Bull
2016-03-21,4426.97707137,0.00366126,0.00365458,4219.94275944,0.15991376,-0.01575856,Bull,Bull,Bull
2016-03-22,4437.61890916,0.00240386,0.00240098,4223.27948945,0.14398632,-0.01339258,Bull,Bull,Bull
2016-03-23,4402.55889599,-0.00790064,-0.00793201,4225.65971858,0.14737217,-0.02118740,Bull,Bull,Bull
2016-03-24,4405.53236803,0.00067540,0.00067517,4227.09601659,0.14495152,-0.02052632,Bull,Bull,Bull
2016-03-28,4398.06557260,-0.00169487,-0.00169631,4231.39500792,0.14507903,-0.02218639,Bull,Bull,Bull
2016-03-29,4467.71860219,0.01583720,0.01571310,4235.29004093,0.14786624,-0.00670057,Bull,Bull,Bull
2016-03-30,4490.87570947,0.00518321,0.00516982,4242.28591101,0.10535017,-0.00155209,Bull,Bull,Bull
2016-03-31,4483.65516650,-0.00160783,-0.00160912,4249.01751671,0.10590070,-0.00315742,Bull,Bull,Bull
2016-04-01,4532.08205180,0.01080076,0.01074285,4256.93353749,0.10961868,0.00000000,Bull,Bull,Bull
2016-04-04,4511.70364808,-0.00449648,-0.00450662,4264.31562767,0.11217686,-0.00449648,Bull,Bull,Bull
2016-04-05,4470.74794004,-0.00907766,-0.00911911,4268.53511649,0.11569279,-0.01353332,Bull,Bull,Bull
2016-04-06,4543.78119755,0.01633580,0.01620381,4275.48010547,0.11895738,0.00000000,Bull,Bull,Bull
2016-04-07,4475.28543376,-0.01507462,-0.01518939,4280.30881316,0.13475579,-0.01507462,Bull,Bull,Bull
2016-04-08,4474.92537082,-0.00008046,-0.00008046,4287.23009953,0.13436380,-0.01515386,Bull,Bull,Bull
2016-04-11,4458.70535947,-0.00362464,-0.00363123,4292.68298992,0.12310321,-0.01872358,Bull,Bull,Bull
2016-04-12,4496.04465589,0.00837447,0.00833960,4297.02049497,0.12576279,-0.01050591,Bull,Bull,Bull
2016-04-13,4554.72203353,0.01305089,0.01296646,4302.38380959,0.13203021,0.00000000,Bull,Bull,Bull
2016-04-14,4554.62453516,-0.00002141,-0.00002141,4309.61429175,0.13002893,-0.00002141,Bull,Bull,Bull
2016-04-15,4543.16119061,-0.00251686,-0.00252003,4317.03816105,0.13058247,-0.00253821,Bull,Bull,Bull
2016-04-18,4565.42140463,0.00489972,0.00488775,4324.99115665,0.13108289,0.00000000,Bull,Bull,Bull
2016-04-19,4537.08971856,-0.00620571,-0.00622505,4335.24348913,0.13381410,-0.00620571,Bull,Bull,Bull
2016-04-20,4540.43819679,0.00073802,0.00073775,4346.83883212,0.13375103,-0.00547227,Bull,Bull,Bull
2016-04-21,4540.79851693,0.00007936,0.00007935,4358.69872334,0.12949516,-0.00539334,Bull,Bull,Bull
2016-04-22,4474.19202147,-0.01466845,-0.01477710,4368.85706005,0.14189579,-0.01998269,Bull,Bull,Bull
2016-04-25,4474.13147152,-0.00001353,-0.00001353,4379.09520425,0.14163284,-0.01999595,Bull,Bull,Bull
2016-04-26,4452.96564926,-0.00473071,-0.00474194,4387.77069886,0.13141971,-0.02463206,Bull,Bull,Bull
2016-04-27,4416.63461243,-0.00815884,-0.00819231,4394.01678449,0.13277716,-0.03258994,Bull,Bull,Bear
2016-04-28,4363.99270342,-0.01191901,-0.01199061,4397.31457840,0.13856890,-0.04412051,Bear,Bear,Bear
2016-04-29,4341.29912504,-0.00520019,-0.00521376,4401.11071623,0.13149085,-0.04909126,Bear,Bear,Bear
2016-05-02,4381.30394597,0.00921494,0.00917274,4405.45504113,0.13708621,-0.04032869,Bear,Bear,Bear
2016-05-03,4341.39209475,-0.00910958,-0.00915133,4407.65751925,0.13711011,-0.04907089,Bear,Bear,Bear
2016-05-04,4312.01395741,-0.00676699,-0.00678999,4410.64699330,0.12117017,-0.05550582,Bear,Bear,Bear
2016-05-05,4309.48461557,-0.00058658,-0.00058675,4412.82350132,0.11180030,-0.05605984,Bear,Bear,Bear
2016-05-06,4330.16816050,0.00479954,0.00478806,4414.60568660,0.11415489,-0.05152936,Bear,Bear,Bear
2016-05-09,4341.23066350,0.00255475,0.00255149,4416.71797429,0.11483510,-0.04910625,Bear,Bear,Bear
2016-05-10,4402.03798431,0.01400693,0.01390974,4420.73637757,0.12250515,-0.03578715,Bear,Bear,Bear
2016-05-11,4361.03327604,-0.00931494,-0.00935859,4421.28475788,0.11394307,-0.04476873,Bear,Bear,Bear
2016-05-12,4342.80882593,-0.00417893,-0.00418769,4421.45320676,0.11385943,-0.04876058,Bear,Bear,Bear
2016-05-13,4326.53057234,-0.00374832,-0.00375537,4421.46657708,0.11396382,-0.05232613,Bear,Bear,Bear
2016-05-16,4380.48356297,0.01247027,0.01239315,4422.49623967,0.12311368,-0.04050838,Bear,Bear,Bear
2016-05-17,4322.55675546,-0.01322384,-0.01331205,4422.88070340,0.12872992,-0.05319655,Bear,Bear,Bear
2016-05-18,4338.23234407,0.00362646,0.00361990,4424.33515935,0.13006777,-0.04976300,Bear,Bear,Bear
2016-05-19,4315.57866157,-0.00522187,-0.00523555,4424.78208527,0.13015846,-0.05472501,Bear,Bear,Bear
2016-05-20,4362.90287740,0.01096590,0.01090621,4426.30081644,0.13006957,-0.04435922,Bear,Bear,Bear
2016-05-23,4355.09923182,-0.00178864,-0.00179024,4426.16620453,0.12999673,-0.04606851,Bear,Bear,Bear
2016-05-24,4444.29682266,0.02048118,0.02027427,4427.70556155,0.15010778,-0.02653087,Bull,Bull,Bull
2016-05-25,4476.43395028,0.00723109,0.00720507,4429.89260642,0.14904131,-0.01949162,Bull,Bull,Bull
2016-05-26,4487.96051946,0.00257494,0.00257164,4431.56778017,0.14139921,-0.01696686,Bull,Bull,Bull
2016-05-27,4512.54124157,0.00547704,0.00546209,4433.81334148,0.13984526,-0.01158276,Bull,Bull,Bull
2016-05-31,4523.89283380,0.00251557,0.00251241,4436.07464059,0.13724720,-0.00909633,Bull,Bull,Bull
2016-06-01,4520.06827373,-0.00084541,-0.00084577,4437.93646464,0.13167001,-0.00993405,Bull,Bull,Bull
2016-06-02,4531.34911917,0.00249572,0.00249262,4439.81106884,0.12749203,-0.00746312,Bull,Bull,Bull
2016-06-03,4509.79250372,-0.00475722,-0.00476857,4441.95574099,0.12967201,-0.01218483,Bull,Bull,Bull
2016-06-06,4523.63328630,0.00306905,0.00306435,4444.31775936,0.12937236,-0.00915318,Bull,Bull,Bull
2016-06-07,4513.08686974,-0.00233140,-0.00233413,4446.61818530,0.13034770,-0.01146324,Bull,Bull,Bull
2016-06-08,4520.62861955,0.00167108,0.00166969,4447.67638565,0.12244283,-0.00981131,Bull,Bull,Bull
2016-06-09,4512.68935304,-0.00175623,-0.00175777,4448.11265852,0.11647014,-0.01155031,Bull,Bull,Bull
2016-06-10,4461.04950201,-0.01144325,-0.01150923,4447.66054523,0.12404021,-0.02286140,Bear,Bull,Bull
2016-06-13,4422.75936023,-0.00858321,-0.00862026,4445.47409140,0.12783635,-0.03124838,Bear,Bear,Bear
2016-06-14,4424.91142799,0.00048659,0.00048647,4443.73824699,0.12067126,-0.03077700,Bear,Bear,Bear
2016-06-15,4409.50957234,-0.00348072,-0.00348679,4442.51347964,0.11034903,-0.03415059,Bear,Bear,Bear
2016-06-16,4424.23340287,0.00333911,0.00333355,4440.12252375,0.11026336,-0.03092551,Bear,Bear,Bear
2016-06-17,4374.38050666,-0.01126814,-0.01133211,4438.10442521,0.11675506,-0.04184518,Bear,Bear,Bear
2016-06-20,4400.15816810,0.00589287,0.00587558,4436.60908115,0.11218531,-0.03619890,Bear,Bear,Bear
2016-06-21,4413.40423335,0.00301036,0.00300584,4435.70305863,0.11222088,-0.03329751,Bear,Bear,Bear
2016-06-22,4404.72633654,-0.00196626,-0.00196819,4433.87669224,0.08519027,-0.03519830,Bear,Bear,Bear
2016-06-23,4467.48152352,0.01424724,0.01414670,4432.13188204,0.09629944,-0.02145254,Bear,Bull,Bull
2016-06-24,4285.70095242,-0.04068972,-0.04154071,4426.75341039,0.17511601,-0.06126936,Bear,Bear,Bear
2016-06-27,4201.05455101,-0.01975089,-0.01994854,4419.91127759,0.18320903,-0.07981013,Bear,Bear,Bear
2016-06-28,4290.46750381,0.02128345,0.02106012,4414.41219958,0.20222712,-0.06022531,Bear,Bear,Bear
2016-06-29,4364.73769944,0.01731051,0.01716239,4410.96515920,0.21411032,-0.04395732,Bear,Bear,Bear
2016-06-30,4417.69853000,0.01213379,0.01206077,4408.51036586,0.21925594,-0.03235690,Bear,Bear,Bear
2016-07-01,4437.44450685,0.00446974,0.00445978,4406.44328566,0.21974940,-0.02803178,Bear,Bear,Bull
2016-07-05,4410.74703928,-0.00601641,-0.00603458,4405.17438601,0.21999584,-0.03387954,Bear,Bear,Bear
2016-07-06,4444.70243899,0.00769833,0.00766885,4404.58580536,0.22220454,-0.02644202,Bear,Bear,Bull
2016-07-07,4459.58436779,0.00334824,0.00334265,4404.71817973,0.22252662,-0.02318231,Bull,Bear,Bull
2016-07-08,4528.36430643,0.01542295,0.01530522,4406.95277361,0.22956179,-0.00811691,Bull,Bear,Bull
