Nasdaq Traded,Symbol,Security Name,Listing Exchange,Market Category,ETF,Round Lot Size,Test Issue,Financial Status,CQS Symbol,NASDAQ Symbol,NextShares,Industry,Source
Y,PXLW,"Pixelworks, Inc. - Common Stock",Q,G,N,100.0,N,N,,PXLW,N,Technology,Yahoo Finance
Y,PXS,Pyxis Tankers Inc. - Common Stock,Q,S,N,100.0,N,N,,PXS,N,Energy,Yahoo Finance
Y,PYN,PIMCO New York Municipal Income Fund III Common Shares of Beneficial Interest,N, ,N,100.0,N,,PYN,PYN,N,N/A,Yahoo Finance
Y,PYPE,"ETRACS NYSE Pickens Core Midstream Index ETN due August 20, 2048",P, ,N,100.0,N,,PYPE,PYPE,N,N/A,Yahoo Finance
Y,PYPL,"PayPal Holdings, Inc. - Common Stock",Q,Q,N,100.0,N,N,,PYPL,N,Financial Services,Yahoo Finance
Y,PYS,Merrill Lynch Depositor Inc PPlus Tr Ser RRD-1 Tr Ctf Cl A,N, ,N,100.0,N,,PYS,PYS,N,N/A,Yahoo Finance
Y,PYT,PPlus Tr GSC-2 Tr Ctf Fltg Rate,N, ,N,100.0,N,,PYT,PYT,N,N/A,Yahoo Finance
Y,PYX,"Pyxus International, Inc. Common Stock",N, ,N,100.0,N,,PYX,PYX,N,N/A,Yahoo Finance
Y,PZC,PIMCO California Municipal Income Fund III Common Shares of Beneficial Interest,N, ,N,100.0,N,,PZC,PZC,N,N/A,Yahoo Finance
Y,PZG,Paramount Gold Nevada Corp. Common Stock,A, ,N,100.0,N,,PZG,PZG,N,Basic Materials,Yahoo Finance
Y,PZN,Pzena Investment Management Inc Class A Common Stock,N, ,N,100.0,N,,PZN,PZN,N,N/A,Yahoo Finance
Y,PZZA,"Papa John's International, Inc. - Common Stock",Q,Q,N,100.0,N,N,,PZZA,N,Consumer Cyclical,Yahoo Finance
Y,QADA,QAD Inc. - Class A Common Stock,Q,Q,N,100.0,N,N,,QADA,N,N/A,Yahoo Finance
Y,QADB,QAD Inc. - Class B Common Stock,Q,Q,N,100.0,N,N,,QADB,N,N/A,Yahoo Finance
Y,QBAK,Qualstar Corporation - Common Stock,Q,S,N,100.0,N,N,,QBAK,N,Industrials,Yahoo Finance
Y,QCOM,QUALCOMM Incorporated - Common Stock,Q,Q,N,100.0,N,N,,QCOM,N,Technology,Yahoo Finance
Y,QCRH,"QCR Holdings, Inc. - Common Stock",Q,G,N,100.0,N,N,,QCRH,N,Financial Services,Yahoo Finance
Y,QD,"Qudian Inc. American Depositary Shares, each representing one Class A Ordinary Share",N, ,N,100.0,N,,QD,QD,N,Financial Services,Yahoo Finance
Y,QDEL,Quidel Corporation - Common Stock,Q,Q,N,100.0,N,N,,QDEL,N,Healthcare,Yahoo Finance
Y,QEP,"QEP Resources, Inc. Common Stock",N, ,N,100.0,N,,QEP,QEP,N,N/A,Yahoo Finance
Y,QES,Quintana Energy Services Inc. Common Stock,N, ,N,100.0,N,,QES,QES,N,N/A,Yahoo Finance
Y,QFIN,"360 Finance, Inc. - American Depositary Shares",Q,G,N,100.0,N,N,,QFIN,N,Financial Services,Yahoo Finance
Y,QGEN,Qiagen N.V. Common Shares ,N, ,N,100.0,N,,QGEN,QGEN,N,Healthcare,Yahoo Finance
Y,QHC,Quorum Health Corporation Common Stock ,N, ,N,100.0,N,,QHC,QHC,N,N/A,Yahoo Finance
Y,QIWI,QIWI plc - American Depositary Shares,Q,Q,N,100.0,N,N,,QIWI,N,N/A,Yahoo Finance
Y,QK,Q&K International Group Limited - American Depositary Shares,Q,G,N,100.0,N,N,,QK,N,N/A,Yahoo Finance
Y,QLYS,"Qualys, Inc. - Common Stock",Q,Q,N,100.0,N,N,,QLYS,N,Technology,Yahoo Finance
Y,QMCO,Quantum Corporation - Common Stock,Q,G,N,100.0,N,N,,QMCO,N,Technology,Yahoo Finance
Y,QNST,"QuinStreet, Inc. - Common Stock",Q,Q,N,100.0,N,N,,QNST,N,Communication Services,Yahoo Finance
Y,QQQX,Nuveen NASDAQ 100 Dynamic Overwrite Fund - Shares of Beneficial Interest,Q,Q,N,100.0,N,N,,QQQX,N,Financial Services,Yahoo Finance
Y,QRHC,Quest Resource Holding Corporation - Common Stock,Q,S,N,100.0,N,N,,QRHC,N,Industrials,Yahoo Finance
Y,QRTEA,"Qurate Retail, Inc. - Series A Common Stock",Q,Q,N,100.0,N,N,,QRTEA,N,N/A,Yahoo Finance
Y,QRTEB,"Qurate Retail, Inc. - Series B Common Stock",Q,Q,N,100.0,N,N,,QRTEB,N,N/A,Yahoo Finance
Y,QRVO,"Qorvo, Inc. - Common Stock",Q,Q,N,100.0,N,N,,QRVO,N,Technology,Yahoo Finance
Y,QSR,Restaurant Brands International Inc. Common Shares,N, ,N,100.0,N,,QSR,QSR,N,Consumer Cyclical,Yahoo Finance
Y,QTNT,Quotient Limited - Ordinary Shares,Q,G,N,100.0,N,N,,QTNT,N,N/A,Yahoo Finance
Y,QTRX,Quanterix Corporation - Common Stock,Q,G,N,100.0,N,N,,QTRX,N,Healthcare,Yahoo Finance
Y,QTS,"QTS Realty Trust, Inc. Class A Common Stock",N, ,N,100.0,N,,QTS,QTS,N,N/A,Yahoo Finance
Y,QTT,Qutoutiao Inc. - American Depositary Shares,Q,Q,N,100.0,N,N,,QTT,N,N/A,Yahoo Finance
Y,QTWO,"Q2 Holdings, Inc. Common Stock",N, ,N,100.0,N,,QTWO,QTWO,N,Technology,Yahoo Finance
Y,QUAD,"Quad Graphics, Inc Class A Common Stock",N, ,N,100.0,N,,QUAD,QUAD,N,Industrials,Yahoo Finance
Y,QUIK,QuickLogic Corporation - Common Stock,Q,S,N,100.0,N,N,,QUIK,N,Technology,Yahoo Finance
Y,QUMU,Qumu Corporation - Common Stock,Q,S,N,100.0,N,N,,QUMU,N,N/A,Yahoo Finance
Y,QUOT,Quotient Technology Inc. Common Stock,N, ,N,100.0,N,,QUOT,QUOT,N,N/A,Yahoo Finance
